,old_name,new_name,status,note,old_folder
0,11060002.JPG,Hbwtr_w4_20201106_115812.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
1,11070004.JPG,Hbwtr_w4_20201107_115811.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
2,11080006.JPG,Hbwtr_w4_20201108_115810.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
3,11090008.JPG,Hbwtr_w4_20201109_115809.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
4,11100010.JPG,Hbwtr_w4_20201110_115807.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
5,11110012.JPG,Hbwtr_w4_20201111_115806.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
6,11120014.JPG,Hbwtr_w4_20201112_115805.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
7,11130016.JPG,Hbwtr_w4_20201113_115804.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
8,11140020.JPG,Hbwtr_w4_20201114_120503.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
9,11150021.JPG,Hbwtr_w4_20201115_120002.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
10,11160023.JPG,Hbwtr_w4_20201116_120001.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
11,11170025.JPG,Hbwtr_w4_20201117_120000.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
12,11180027.JPG,Hbwtr_w4_20201118_115959.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
13,11190029.JPG,Hbwtr_w4_20201119_115957.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
14,11200031.JPG,Hbwtr_w4_20201120_115956.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
15,11210033.JPG,Hbwtr_w4_20201121_115955.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
16,11220035.JPG,Hbwtr_w4_20201122_115954.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
17,11230037.JPG,Hbwtr_w4_20201123_115953.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
18,11240039.JPG,Hbwtr_w4_20201124_115951.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
19,11250041.JPG,Hbwtr_w4_20201125_115950.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
20,11260043.JPG,Hbwtr_w4_20201126_115949.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
21,11270045.JPG,Hbwtr_w4_20201127_115948.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
22,11280047.JPG,Hbwtr_w4_20201128_115947.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
23,11290049.JPG,Hbwtr_w4_20201129_115945.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
24,11300051.JPG,Hbwtr_w4_20201130_115944.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
25,12010053.JPG,Hbwtr_w4_20201201_115943.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
26,12020055.JPG,Hbwtr_w4_20201202_115942.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
