fname,created_dttm
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201107_115809.JPG,2020-11-07T11:58:10Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201108_115808.JPG,2020-11-08T11:58:09Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201109_115807.JPG,2020-11-09T11:58:08Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201110_115806.JPG,2020-11-10T11:58:07Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201111_115805.JPG,2020-11-11T11:58:06Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201112_120304.JPG,2020-11-12T12:03:05Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201113_115303.JPG,2020-11-13T11:58:04Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201114_120002.JPG,2020-11-14T12:00:03Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201115_120001.JPG,2020-11-15T12:00:02Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201116_120000.JPG,2020-11-16T12:00:01Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201117_115959.JPG,2020-11-17T12:00:00Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201118_115958.JPG,2020-11-18T11:59:59Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201119_115957.JPG,2020-11-19T11:59:58Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201120_115956.JPG,2020-11-20T11:59:56Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201121_115955.JPG,2020-11-21T11:59:55Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201122_115954.JPG,2020-11-22T11:59:54Z
